"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시 성북구 돈암제2동(1129059000)","24,168","24,168","1,931","2,795","2,911","2,949","4,357","4,114","2,779","1,471","725","133","3"
"서울특별시 성북구 안암동(1129060000)","14,877","14,877","434","819","5,119","2,016","1,590","1,961","1,491","940","446","56","5"
"서울특별시 성북구 보문동(1129061000)","15,461","15,461","966","929","2,608","2,575","2,366","2,493","1,939","1,067","456","58","4"
"서울특별시 성북구 정릉제1동(1129062000)","18,343","18,343","1,403","1,739","2,268","2,605","3,126","2,849","2,276","1,361","633","81","2"
"서울특별시 성북구 정릉제2동(1129063000)","23,167","23,167","1,458","1,828","3,225","3,081","3,524","3,734","3,402","1,966","832","113","4"
"서울특별시 성북구 정릉제3동(1129064000)","15,090","15,090","576","926","3,065","1,827","1,830","2,346","2,266","1,435","711","105","3"
"서울특별시 성북구 정릉제4동(1129065000)","25,093","25,093","1,546","2,102","3,265","3,123","4,104","4,152","3,654","2,125","883","134","5"
"서울특별시 성북구 길음제1동(1129066000)","35,655","35,655","3,782","4,885","3,412","4,383","7,791","5,063","3,314","2,056","844","121","4"
"서울특별시 성북구 길음제2동(1129068500)","16,624","16,624","1,407","1,441","2,035","2,413","2,870","2,746","2,123","1,088","441","57","3"
"서울특별시 성북구 종암동(1129070500)","39,054","39,054","2,574","3,630","5,655","5,093","6,292","6,307","4,913","2,852","1,498","232","8"
"서울특별시 성북구 월곡제1동(1129071500)","26,593","26,593","1,969","2,581","3,066","3,527","4,518","4,214","3,637","2,116","861","104","0"
"서울특별시 성북구 월곡제2동(1129072500)","19,600","19,600","1,039","1,448","3,476","2,716","2,777","2,992","2,750","1,595","706","97","4"
"서울특별시 성북구 장위제1동(1129076000)","24,391","24,391","1,752","1,902","3,401","3,383","3,720","4,223","3,421","1,746","756","85","2"
"서울특별시 성북구 장위제2동(1129077000)","13,788","13,788","579","860","1,992","1,771","1,898","2,392","2,245","1,395","582","71","3"
"서울특별시 성북구 장위제3동(1129078000)","16,153","16,153","1,720","1,351","2,062","2,581","2,630","2,537","1,964","926","343","34","5"
"서울특별시 성북구 석관동(1129081000)","35,291","35,291","1,946","2,150","5,178","4,908","5,057","5,871","5,498","3,216","1,322","142","3"
"서울특별시 강북구 (1130500000)","302,113","302,113","14,788","21,241","41,811","37,619","45,038","51,628","46,982","29,455","12,079","1,427","45"
"서울특별시 강북구 삼양동(1130553400)","24,006","24,006","1,224","1,917","3,108","2,906","3,503","4,336","3,813","2,205","870","119","5"
"서울특별시 강북구 미아동(1130553500)","21,799","21,799","720","1,286","3,764","2,883","2,960","3,758","3,424","2,041","871","91","1"
"서울특별시 강북구 송중동(1130554500)","29,785","29,785","1,485","1,979","4,227","3,985","4,462","5,085","4,679","2,716","1,047","115","5"
"서울특별시 강북구 송천동(1130555500)","26,751","26,751","1,008","1,554","3,534","3,176","3,737","4,931","4,684","2,857","1,131","130","9"
"서울특별시 강북구 삼각산동(1130557500)","31,391","31,391","2,864","3,934","3,321","3,642","6,336","4,986","3,395","1,982","832","94","5"
"서울특별시 강북구 번1동(1130559500)","18,585","18,585","633","1,058","3,178","2,679","2,813","3,076","2,692","1,725","656","75","0"
"서울특별시 강북구 번2동(1130560300)","16,044","16,044","638","1,025","2,182","1,747","2,305","2,695","2,701","1,962","714","73","2"
"서울특별시 강북구 번3동(1130560800)","17,115","17,115","912","1,275","1,863","1,679","2,515","2,772","2,718","2,471","826","81","3"
"서울특별시 강북구 수유1동(1130561500)","20,782","20,782","963","1,307","3,007","2,755","2,924","3,518","3,387","1,943","866","109","3"
"서울특별시 강북구 수유2동(1130562500)","21,356","21,356","1,029","1,394","2,931","2,503","3,030","3,702","3,472","2,130","1,032","132","1"
"서울특별시 강북구 수유3동(1130563500)","23,152","23,152","779","1,086","4,150","3,349","3,220","3,947","3,514","2,129","881","95","2"
"서울특별시 강북구 우이동(1130564500)","20,631","20,631","1,044","1,361","2,607","2,555","2,905","3,543","3,372","2,129","984","126","5"
"서울특별시 강북구 인수동(1130566000)","30,716","30,716","1,489","2,065","3,939","3,760","4,328","5,279","5,131","3,165","1,369","187","4"
"서울특별시 도봉구 (1132000000)","319,893","319,893","17,715","24,717","42,444","39,652","46,952","56,084","50,944","27,481","12,112","1,670","122"
"서울특별시 도봉구 창제1동(1132051100)","24,968","24,968","1,501","2,078","3,285","3,342","3,960","4,199","3,547","1,971","959","118","8"
"서울특별시 도봉구 창제2동(1132051200)","29,295","29,295","1,696","2,192","4,131","4,006","4,469","5,095","4,284","2,312","999","107","4"
"서울특별시 도봉구 창제3동(1132051300)","14,007","14,007","721","1,057","1,750","1,663","2,081","2,546","2,228","1,369","538","47","7"
"서울특별시 도봉구 창제4동(1132051400)","26,837","26,837","1,701","2,546","3,658","3,329","4,306","4,856","3,648","1,706","924","153","10"
"서울특별시 도봉구 창제5동(1132051500)","24,785","24,785","1,503","1,900","3,638","3,484","3,497","4,284","3,768","1,769","815","125","2"
"서울특별시 도봉구 도봉제1동(1132052100)","21,224","21,224","824","1,148","2,582","2,274","2,867","3,731","3,961","2,679","1,041","115","2"
"서울특별시 도봉구 도봉제2동(1132052200)","27,071","27,071","1,534","1,627","3,245","3,487","3,662","4,418","4,918","2,805","1,157","193","25"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,560","21,560","1,130","1,597","2,936","2,542","3,165","3,687","3,435","2,040","900","113","15"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,841","18,841","975","1,334","2,497","2,501","2,692","3,250","3,083","1,619","760","110","20"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,520","16,520","750","1,026","2,480","2,243","2,357","2,839","2,512","1,599","630","78","6"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,825","18,825","1,153","1,941","2,500","2,267","2,852","3,375","2,886","1,159","588","101","3"
"서울특별시 도봉구 방학제1동(1132069000)","28,723","28,723","1,478","2,150","3,860","3,263","4,142","5,312","4,740","2,636","988","149","5"
"서울특별시 도봉구 방학제2동(1132070000)","19,797","19,797","877","1,439","2,602","2,149","2,772","3,741","3,389","1,917","807","96","8"
"서울특별시 도봉구 방학제3동(1132071000)","27,440","27,440","1,872","2,682","3,280","3,102","4,130","4,751","4,545","1,900","1,006","165","7"
"서울특별시 노원구 (1135000000)","515,198","515,198","31,615","51,323","71,349","63,559","83,385","87,041","69,974","37,282","17,051","2,494","125"
"서울특별시 노원구 월계1동(1135056000)","21,792","21,792","1,139","1,632","3,743","2,615","3,319","3,431","3,137","1,911","752","103","10"
"서울특별시 노원구 월계2동(1135057000)","27,020","27,020","1,674","2,054","3,162","3,132","4,182","4,566","4,478","2,527","1,058","180","7"
"서울특별시 노원구 월계3동(1135058000)","30,200","30,200","2,168","2,090","3,498","4,519","4,564","4,752","4,694","2,612","1,159","138","6"
"서울특별시 노원구 공릉1동(1135059500)","36,983","36,983","1,993","2,593","6,543","5,248","5,324","5,701","5,557","2,784","1,073","162","5"
"서울특별시 노원구 공릉2동(1135060000)","39,147","39,147","2,794","4,242","6,610","5,126","6,372","5,991","4,647","2,232","989","140","4"
"서울특별시 노원구 하계1동(1135061100)","26,907","26,907","1,110","2,997","4,464","2,695","4,062","4,944","3,693","1,824","984","128","6"
