,광역시도,시군구,구분,인구수,20~39세,65세이상
588,전라북도, 진안군,계,25361,3712,8706
589,전라북도, 진안군,남자,12817,1964,3692
590,전라북도, 진안군,여자,12544,1749,5016
591,전라북도, 무주군,계,24069,3591,7950
592,전라북도, 무주군,남자,11977,1976,3231
593,전라북도, 무주군,여자,12092,1615,4721
594,전라북도, 장수군,계,22159,3345,7397
595,전라북도, 장수군,남자,11037,1807,3042
596,전라북도, 장수군,여자,11122,1540,4357
597,전라북도, 임실군,계,27928,4387,9834
598,전라북도, 임실군,남자,14241,2476,4059
599,전라북도, 임실군,여자,13688,1912,5779
600,전라북도, 순창군,계,27930,4243,9330
601,전라북도, 순창군,남자,13575,2189,3653
602,전라북도, 순창군,여자,14356,2056,5677
603,전라북도, 고창군,계,54579,8348,18475
604,전라북도, 고창군,남자,27019,4617,7368
605,전라북도, 고창군,여자,27560,3732,11109
606,전라북도, 부안군,계,52251,8417,17061
607,전라북도, 부안군,남자,25966,4619,6943
608,전라북도, 부안군,여자,26286,3800,10118
612,전라남도, 목포시,계,225273,54208,36558
613,전라남도, 목포시,남자,112219,28586,15568
614,전라남도, 목포시,여자,113054,25624,20991
615,전라남도, 여수시,계,279854,65443,52858
616,전라남도, 여수시,남자,142573,36049,22941
617,전라남도, 여수시,여자,137281,29396,29918
618,전라남도, 순천시,계,279602,70234,43095
619,전라남도, 순천시,남자,139449,37007,18304
620,전라남도, 순천시,여자,140153,33228,24791
621,전라남도, 나주시,계,114376,27023,25388
622,전라남도, 나주시,남자,57604,14174,10287
623,전라남도, 나주시,여자,56772,12851,15104
624,전라남도, 광양시,계,153640,39931,19642
625,전라남도, 광양시,남자,79924,22291,8362
626,전라남도, 광양시,여자,73716,17641,11281
627,전라남도, 담양군,계,46034,8667,14070
628,전라남도, 담양군,남자,23452,4869,5833
629,전라남도, 담양군,여자,22582,3799,8237
630,전라남도, 곡성군,계,28267,4263,10089
631,전라남도, 곡성군,남자,13835,2307,3947
632,전라남도, 곡성군,여자,14433,1958,6143
633,전라남도, 구례군,계,25985,3887,8741
634,전라남도, 구례군,남자,12663,2084,3437
635,전라남도, 구례군,여자,13322,1805,5305
636,전라남도, 고흥군,계,64022,8098,25951
637,전라남도, 고흥군,남자,31065,4550,10287
638,전라남도, 고흥군,여자,32957,3549,15666
639,전라남도, 보성군,계,40544,5685,15374
640,전라남도, 보성군,남자,19742,3126,6044
641,전라남도, 보성군,여자,20802,2560,9331
642,전라남도, 화순군,계,62182,11610,16416
643,전라남도, 화순군,남자,30773,6132,6524
